Time,Factor_Global,Factor_Pandemic,Factor_Pandemic_10,Factor_Pandemic_9,Factor_Pandemic_1,Factor_Pandemic_7,Factor_Factor,Factor_Batch
1/1/2020,1.610883028959816,3.3573703827006685,0.0,0.0,0.0,0.0,0.2045454545,Batch1
2/1/2020,1.8552851540307875,0.3182710830321631,0.0,0.0,0.0,0.0,0.0,Batch1
3/1/2020,1.6552691511663973,-0.03496464325158444,0.0058740602,0.0397350993,0.0042229655,0.0609357998,0.0,Batch1
4/1/2020,1.5060327578318145,0.2609625484854403,0.0693139098,0.0198675497,0.0024131231,0.0282916213,0.0619834711,Batch1
5/1/2020,1.5822915162968254,0.015742107064223687,0.1379229323,0.0264900662,0.0025728151,0.0304678999,0.0289256198,Batch1
6/1/2020,1.507393451911332,-0.057169118188309664,0.1734022556,0.0264900662,0.0108767976,0.0631120783,0.0309917355,Batch1
7/1/2020,1.0166573716212814,-0.23198058139077582,0.4814379699,0.1059602649,0.040277864,0.1828073993,0.0640495868,Batch1
8/1/2020,0.6581833928406112,0.41636855808248663,0.313674812,0.1258278146,0.0370130504,0.204570185,0.1838842975,Batch1
9/1/2020,0.6802475877868829,0.41386016910983087,0.1459116541,0.1125827815,0.0532484009,0.1566920566,0.2045454545,Batch1
10/1/2020,-0.00669797508764125,-0.7212222820800565,0.0773026316,0.3112582781,0.1582192571,0.4243743199,0.1570247934,Batch1
11/1/2020,-2.0062125701213525,-0.44540808983743296,0.155075188,0.5894039735,0.3026162868,0.752992383,0.423553719,Batch1
12/1/2020,-2.567583222537974,1.878666814467182,0.5227913534,0.5033112583,0.1744191205,0.5571273123,0.7541322314,Batch1
1/1/2021,-1.0516351565514146,1.1968316193892663,1.0,0.178807947,0.0982904087,0.2176278564,0.5578512397,Batch1
2/1/2021,0.4841344871542008,-0.08100831316992607,0.6719924812,0.0993377483,0.0558034724,0.1523394995,0.2190082645,Batch1
3/1/2021,0.7055592591405191,-0.23103088476876787,0.2319078947,0.1125827815,0.072748565,0.2241566921,0.152892562,Batch1
4/1/2021,0.5268222312557367,0.015071472916055484,0.0838815789,0.0066225166,0.0778320928,0.289445049,0.2252066116,Batch1
5/1/2021,0.5839591823975601,0.8983534551514998,0.0714285714,0.1390728477,0.0299511165,0.1284004353,0.2892561983,Batch1
6/1/2021,1.1755209395673514,0.12650751235319618,0.0723684211,0.0529801325,0.0149666865,0.0957562568,0.1301652893,Batch1
7/1/2021,0.6918526870812182,-0.7474570982086242,0.0728383459,0.0794701987,0.0817711614,0.39390642,0.0950413223,Batch1
8/1/2021,-1.4286438283886889,-0.647399457682832,0.1268796992,0.3245033113,0.26157545,0.8019586507,0.3925619835,Batch1
9/1/2021,-3.919084663048424,0.449752563922739,0.2814849624,0.8278145695,0.4060079669,1.0,0.8037190083,Batch1
10/1/2021,-4.566727694386866,1.6630387285634711,0.274906015,0.9470198675,0.3689594294,0.8335146899,1.0,Batch1
11/1/2021,-3.330557990239016,2.3433690196172745,0.2709116541,1.0,0.1806914662,0.4494015234,0.8347107438,Batch1
12/1/2021,-1.0106386091513873,0.3152248657130795,0.4515977444,0.1059602649,0.1362261238,0.2655059848,0.4504132231,Batch1
1/1/2022,-2.5775837369971053,-5.440350565039624,0.4642857143,0.2847682119,1.0,0.478781284,0.2665289256,Batch1
2/1/2022,-1.7916992413114525,-0.04747365929138772,0.4090695489,0.5165562914,0.2854316563,0.2491838955,0.479338843,Batch1
3/1/2022,-0.3750866152544976,0.17207154446381345,0.3106203008,0.4304635762,0.1077388504,0.1284004353,0.25,Batch1
4/1/2022,0.5070492328366724,-0.158650866200451,0.1604793233,0.1589403974,0.0940142126,0.0718171926,0.1280991736,Batch1
5/1/2022,0.6310723249012429,-0.5066951180553934,0.0817669173,0.2185430464,0.1257574279,0.1099020675,0.0723140496,Batch1
6/1/2022,0.7050883292912593,-0.6271550100461651,0.0507518797,0.0,0.1572433617,0.1077257889,0.1095041322,Batch1
7/1/2022,0.6424414238000056,-0.6036074724851817,0.0594454887,0.1523178808,0.1569505931,0.1088139282,0.1074380165,Batch1
8/1/2022,0.694448495845538,-0.20531585345548342,0.0812969925,0.1920529801,0.0951143128,0.112078346,0.1095041322,Batch1
9/1/2022,0.9872153072524922,0.36946909355209284,0.0601503759,0.1655629139,0.0211769298,0.0402611534,0.1115702479,Batch1
10/1/2022,1.4484401123669604,-0.02160230913226202,0.0,0.0,0.0135738176,0.0293797606,0.041322314,Batch1
11/1/2022,1.6052565274113881,-0.019551791345665842,0.0,0.0,0.0134850999,0.0054406964,0.0289256198,Batch1
12/1/2022,1.7005444671143124,-0.12157200258452772,0.0,0.0,0.0121365899,0.0087051143,0.0061983471,Batch1
